,Name,Artificial intelligence pscore 5 years,Artificial intelligence year 5 years,Artificial intelligence year combined 5 years
0,Stanford University,155220.45,7372.57052915,605368077.759
1,University of California-Berkeley,119902.346429,2565.38550232,180400008.774
2,Massachusetts Institute of Technology,122192.669048,4876.47172222,208688300.843
3,Carnegie Mellon University,369759.257937,18944.6257316,2567494975.61
4,University of Illinois at Urbana-Champaign,123432.947222,5137.69776265,318715476.692
5,Princeton University,15949.4666667,26.4042001477,352963.974903
6,Cornell University,142119.72381,7339.95947851,679171355.623
7,University of California-Santa Barbara,30991.7833333,53.5102440627,624657.643326
8,University of North Carolina at Chapel Hill,6681.08333333,0.0,0.0
9,University of California-Los Angeles,150952.343651,17889.9197333,1906485691.35
10,University of Texas at Austin,151207.87381,9830.92253786,1079381692.39
11,Georgia Institute of Technology,129401.420238,3028.07677086,64456891.3221
12,Michigan State University,48506.1142857,919.271923917,34542827.6957
13,University of Maryland College Park,24556.6904762,640.382696447,11452962.0131
14,University of California-San Diego,50972.1607143,347.702744449,4826830.0971
15,University of Michigan-Ann Arbor,15303.6333333,332.210105285,4059556.8801
16,University of Southern California,292483.911905,15999.9296271,2080400860.47
17,University of Pennsylvania,76880.25,1858.77142141,56391497.005
18,University of Massachusetts Amherst,184790.835714,11918.4830259,1074439041.84
19,University of Wisconsin-Madison,44753.6595238,1207.37475753,39506077.4814
20,Harvard University,69306.4,4275.16955267,247829270.19
21,University of Rochester,86320.3809524,5515.38862168,399047146.119
22,University of Washington,136054.521429,7605.49181233,715990193.75
23,Purdue University Main Campus,48297.1706349,1722.70300195,26886064.0485
24,Duke University,56733.3944444,5040.9497081,631585827.013
25,New York University,40174.3297619,861.28465532,21353028.7884
26,Tufts University,21042.4166667,1286.38773154,45785955.6281
