,Name,Computer graphics (images) pscore norm,Computer graphics (images) year norm,Computer graphics (images) year combined norm
0,Stanford University,255.838748145,31.0204225976,1727277.06215
1,University of California-Berkeley,156.22868004,7.87522511114,273342.072055
2,Massachusetts Institute of Technology,167.814641648,19.1985795812,1456812.70303
3,Carnegie Mellon University,269.794523771,11.4354988589,364380.135984
4,University of Illinois at Urbana-Champaign,159.211223058,8.89570104983,291783.497497
5,Princeton University,77.3705726283,11.5896629071,489507.848392
6,Cornell University,136.461785179,14.2774245204,545638.832864
7,University of California-Santa Barbara,60.0701211647,3.29249465885,65291.7875154
8,University of North Carolina at Chapel Hill,40.3884237726,0.912898461097,8781.19558421
9,University of California-Los Angeles,80.1373578811,2.97084442008,84053.3587165
10,University of Texas at Austin,54.8624517042,3.15115240321,42005.881369
11,Georgia Institute of Technology,272.364660331,17.1460636461,630266.407838
12,Michigan State University,45.8241429802,3.14601177181,86564.3359545
13,University of Maryland College Park,26.9685594315,0.935528613318,25742.9408527
14,University of California-San Diego,108.705100785,13.2322101839,791659.294816
15,University of Michigan-Ann Arbor,10.3734963228,0.0727111152637,384.339149945
16,University of Southern California,156.345964946,12.9547535162,745907.336576
17,University of Pennsylvania,64.8642352733,1.19176525877,21587.2528812
18,University of Massachusetts Amherst,36.4931814034,1.67919494264,15713.3054117
19,University of Wisconsin-Madison,60.9964077287,6.20343092689,193377.386159
20,Harvard University,59.4137735327,6.96948200423,513944.927686
21,University of Rochester,26.4927811852,0.0932048077174,497.847938131
22,University of Washington,143.68414056,7.67903804827,247325.849101
23,Purdue University Main Campus,127.189906796,15.614222586,779703.310333
24,Duke University,22.031381115,0.0237272229163,54.9962996805
25,New York University,140.792122093,16.4946049326,629663.097664
26,Tufts University,21.3293447767,1.65380183832,33285.7418164
27,State University of New York at Stony Brook,8.40279069767,0.0406620444617,108.942450191
28,Louisiana State University and Agricultural and Mechanical College,8.77601144334,0.135304569759,652.256080219
29,University of California-Riverside,27.5433863729,0.199935886732,1402.01398108
30,Penn State University,0.0263565891473,0.0,0.0
31,University of Minnesota-Twin Cities,2.80520671835,0.0,0.0
32,Brown University,75.0521669808,8.26200849491,366701.049006
33,Rice University,32.8729312423,0.774688108307,13303.4357227
34,University of California-Irvine,91.8036360323,4.34668503283,96961.8148289
35,Ohio State University Main Campus,10.0605943152,0.491039518736,4957.53498116
36,Yale University,53.4101822385,7.27542233395,330134.371184
37,Arizona State University,86.7733121594,11.0449201777,589060.939033
38,University of Nebraska - Lincoln,0.533010335917,0.0,0.0
39,Columbia University In The City of New York,3.66563307494,0.0554878115479,320.886014182
40,University of Connecticut,11.1982041344,0.0859672237576,256.045885093
41,University of California-Davis,217.696661485,20.7893128885,1564941.28451
42,State University of New York at Buffalo,0.65519379845,0.0,0.0
43,Texas A & M University,1.51273901809,0.0,0.0
44,University of Oklahoma Norman Campus,10.2698901266,1.34694361473,12441.7181692
45,University of Pittsburgh Pittsburgh Campus,0.618992248062,0.0,0.0
46,University of Utah,154.523501292,17.0406267915,581972.440101
47,University of California-Santa Cruz,48.4471973053,1.4983631049,24806.6652489
48,Indiana University at Bloomington,24.2067700258,0.872489537468,15862.4815185
49,University of Virginia,25.4044130676,4.25857508843,80221.8129693
50,University of South Florida,24.0648578811,0.624717734588,6701.64701102
51,University of Arizona,24.8832387169,1.98568649125,31801.4506318
52,Virginia Polytechnic Institute and State University,9.24519379845,0.0106556280195,45.4888760153
53,University of Chicago,20.760411051,0.832960439329,15471.3300347
54,Washington University In St. Louis,13.0191273197,1.28252171803,22481.9194422
55,Georgia State University,10.6937855297,0.085970443197,661.370619514
56,North Carolina State University,35.5886062172,1.27446132613,20158.3475691
57,University of Tennessee,43.1731524548,0.817873138601,11423.4417733
58,Johns Hopkins University,29.1676436096,1.0857349928,17769.9674123
59,Vanderbilt University,13.4337858137,0.104969776959,721.457277042
60,Florida Institute of Technology,3.73129198966,0.0,0.0
61,University of Colorado at Boulder,9.75560723514,0.0170170597339,51.7140280464
62,Lehigh University,5.99463824289,0.0287672618519,201.370832963
63,University of Central Florida,75.0549095607,2.60958519413,73651.115432
64,University of Kentucky,28.5059883721,0.614015735479,11930.8898592
65,Florida State University,8.66164082687,0.0142164907422,24.4239310951
66,Oklahoma State University Main Campus,2.14282945736,0.0,0.0
67,Washington State University,14.1604131054,0.201616165038,711.925665095
68,Iowa State University,5.13255813953,0.0,0.0
69,Northwestern University,58.9846016365,1.76103256492,36637.4783271
70,Dartmouth College,60.4272222222,14.148697803,584611.45183
71,Boston University,11.071873385,0.0265178641472,222.487736969
