,Name,Database pscore 5 years,Database year 5 years,Database year combined 5 years
0,Stanford University,152566.875794,16195.6047897,2380578213.75
1,University of California-Berkeley,89630.2948413,6360.26341921,741064471.978
2,Massachusetts Institute of Technology,110302.939286,13267.5812947,2097530812.65
3,Carnegie Mellon University,127175.958333,5293.61993567,597031038.747
4,University of Illinois at Urbana-Champaign,184123.418651,14358.7077491,2196550296.55
5,Princeton University,12501.6071429,20.0478759608,103749.578831
6,Cornell University,78783.8404762,7567.80871345,880793784.415
7,University of California-Santa Barbara,103309.453968,9111.94381873,1046613958.08
8,University of North Carolina at Chapel Hill,1519.83333333,0.0,0.0
9,University of California-Los Angeles,92774.1333333,6725.81476096,471324596.351
10,University of Texas at Austin,39598.1904762,841.938524474,17057393.3483
11,Georgia Institute of Technology,108740.69881,2649.0496528,169708884.676
12,Michigan State University,28215.1047619,288.790630666,5776577.75175
13,University of Maryland College Park,9021.5452381,61.9473419988,672125.920546
14,University of California-San Diego,50465.3535714,6313.70410785,369052425.801
15,University of Michigan-Ann Arbor,5584.74285714,25.4536269127,120080.605626
16,University of Southern California,82210.7650794,2455.98999362,111090259.542
17,University of Pennsylvania,60641.8666667,6329.82242308,308703687.618
18,University of Massachusetts Amherst,109166.67381,12288.2537046,525745427.758
19,University of Wisconsin-Madison,125328.258333,26865.7054502,3416291942.47
20,Harvard University,26321.175,5286.8711397,205638031.041
21,University of Rochester,9735.92142857,17.7349671529,80437.1128882
22,University of Washington,79352.118254,10382.1492421,993845408.539
23,Purdue University Main Campus,136227.396032,10009.8516137,636584598.005
24,Duke University,71065.9472222,13619.7453283,953138440.308
25,New York University,56512.5357143,3604.26362365,260576078.645
26,Tufts University,3718.16666667,17.8982468689,88166.2387989
27,State University of New York at Stony Brook,12371.5833333,161.666194339,2184399.49425
28,Louisiana State University and Agricultural and Mechanical College,9256.58333333,204.958168766,3586395.17887
29,University of California-Riverside,65308.8333333,7382.0009212,297036643.908
30,Penn State University,127.5,0.0,0.0
31,University of Minnesota-Twin Cities,2978.0,12.3792963048,134488.675055
32,Brown University,45152.5666667,7681.05049577,578496181.434
33,Rice University,25763.131746,2766.0830741,82319582.8074
34,University of California-Irvine,110961.065476,10126.3609976,1200926865.05
35,Ohio State University Main Campus,2204.5,8.45637178618,41309.3761755
36,Yale University,24699.5166667,1476.05650944,94886256.3838
37,Arizona State University,85624.7083333,8144.82658472,352011375.126
38,University of Nebraska - Lincoln,837.666666667,0.0,0.0
39,Columbia University In The City of New York,1221.66666667,1.59254699764,6710.14978854
40,University of Connecticut,10483.75,21.5764363906,143260.000779
41,University of California-Davis,22075.5611111,464.016358156,5900598.99378
42,State University of New York at Buffalo,2695.43333333,62.2779052064,273408.429679
43,Texas A & M University,1202.0,0.0,0.0
44,University of Oklahoma Norman Campus,9532.33333333,210.965493963,5455431.51319
45,University of Pittsburgh Pittsburgh Campus,1929.83333333,0.0,0.0
46,University of Utah,11836.6166667,344.570249299,3869008.55899
