,Name,Distributed computing pscore norm,Distributed computing year norm,Distributed computing year combined norm
0,Stanford University,217.618043965,0.94688499352,43913.3641816
1,University of California-Berkeley,308.102860827,0.452822919042,7121.08832473
2,Massachusetts Institute of Technology,258.158310851,0.544639366938,8737.14895034
3,Carnegie Mellon University,255.757451072,0.650748328923,12651.4437568
4,University of Illinois at Urbana-Champaign,571.596382812,4.08995402183,171384.945847
5,Princeton University,90.9912293314,0.157988169535,4668.18490893
6,Cornell University,175.420164896,0.536579738102,11588.9589097
7,University of California-Santa Barbara,244.241516424,1.03320726543,26021.6088035
8,University of North Carolina at Chapel Hill,6.90621854781,0.0121063833744,61.8394062762
9,University of California-Los Angeles,306.079215022,1.31236996473,52087.1914276
10,University of Texas at Austin,187.907281218,1.62438313543,51320.0436434
11,Georgia Institute of Technology,450.717016078,5.16595783121,251416.867318
12,Michigan State University,211.064579839,5.34362842681,240085.165929
13,University of Maryland College Park,43.1384221697,0.263558787825,3062.92329932
14,University of California-San Diego,187.704695509,1.05175026579,16982.1175635
15,University of Michigan-Ann Arbor,9.78834955483,0.0,0.0
16,University of Southern California,395.680448005,2.97179473077,220433.253318
17,University of Pennsylvania,100.944975937,0.129628553233,1663.69401124
18,University of Massachusetts Amherst,247.48712454,1.12455429643,59295.7092573
19,University of Wisconsin-Madison,145.641984407,0.622800704133,13150.4924422
20,Harvard University,56.619524323,0.0383191636052,492.806738552
21,University of Rochester,70.4499379844,0.111338297209,1674.31853532
22,University of Washington,130.092791889,0.255108561019,3447.59367319
23,Purdue University Main Campus,270.111714794,2.47339816427,62648.4123544
24,Duke University,143.598624477,0.475999324798,10076.3417755
25,New York University,116.882564787,0.37143382052,11091.3960106
26,Tufts University,13.956136387,0.0,0.0
27,State University of New York at Stony Brook,53.9414929307,0.790533053698,21720.5769639
28,Louisiana State University and Agricultural and Mechanical College,48.3164116258,0.0330151007809,1002.76765602
29,University of California-Riverside,284.835318421,3.01558409321,193927.650554
30,Penn State University,0.463695183321,0.0,0.0
31,University of Minnesota-Twin Cities,11.0942966691,0.123304387444,1815.27454952
32,Brown University,63.013018888,0.135362716412,2815.23554836
33,Rice University,65.6478707658,0.144154392701,1808.41928347
34,University of California-Irvine,252.761820805,1.34701149596,35549.4122871
35,Ohio State University Main Campus,23.3836448598,0.251386195035,2000.28334519
36,Yale University,93.5422578733,0.258460358166,12559.7321716
37,Arizona State University,210.344321949,1.0665788925,26197.6744651
38,University of Nebraska - Lincoln,12.7158519051,0.146655831028,1328.39432704
39,Columbia University In The City of New York,2.12125569135,0.0,0.0
40,University of Connecticut,96.2758806614,0.490256087525,9910.80534941
41,University of California-Davis,214.810693587,0.630831982148,36652.5018065
42,State University of New York at Buffalo,19.8243829379,0.105393679804,1905.82601124
43,Texas A & M University,9.16506110712,0.0,0.0
44,University of Oklahoma Norman Campus,86.045736598,0.447050070479,9441.18723128
45,University of Pittsburgh Pittsburgh Campus,5.4178049365,0.0,0.0
46,University of Utah,61.1437694704,0.133801780739,1589.10680928
47,University of California-Santa Cruz,62.9208448872,0.222755786411,2845.15657183
48,Indiana University at Bloomington,41.8453510664,0.0342901157304,1268.83715237
49,University of Virginia,163.081120126,5.66440995548,428318.769063
50,University of South Florida,60.5471175242,0.43291678653,4532.13999282
51,University of Arizona,61.2971190557,0.391709453616,5406.62038418
52,Virginia Polytechnic Institute and State University,16.2040738078,0.0363469820748,177.736742346
53,University of Chicago,75.7968584267,0.295973034879,11131.8128528
54,Washington University In St. Louis,36.7132758208,0.143184645298,3016.32773785
55,Georgia State University,128.546807709,2.36803990248,93917.4533808
56,North Carolina State University,182.292663152,1.78872100888,38249.4995414
57,University of Tennessee,166.689795796,0.925191814479,29170.7445348
58,Johns Hopkins University,55.9359693266,0.284541699663,3310.88930508
59,Vanderbilt University,59.8926468691,0.20652870315,2897.25202411
60,Florida Institute of Technology,24.8746585191,0.0729069729381,433.286140171
61,University of Colorado at Boulder,20.0372873233,0.0285902982788,136.735623492
62,Lehigh University,28.7238797029,0.131916344867,1575.98440955
63,University of Central Florida,115.507943925,0.301306662403,5407.50082498
64,University of Kentucky,100.869146897,1.50429219046,62459.8074565
65,Florida State University,120.489761562,1.08604590418,25279.9780199
66,Oklahoma State University Main Campus,31.27442573,0.118672347108,2750.35031657
67,Washington State University,84.202306955,0.64190312305,19212.812462
68,Iowa State University,64.1925730033,0.315368840653,6397.21718981
69,Northwestern University,217.412161514,1.30647773086,71926.2537625
70,Dartmouth College,54.5335250419,0.131302812918,2488.04187705
71,Boston University,82.6774673924,0.362933054654,9633.79830757
72,University of Georgia,29.5811885933,0.136235244788,1442.35716752
73,Rutgers The State University of New Jersey New Brunswick Campus,11.9472801342,0.229453399724,5039.71447154
74,University of Maryland Baltimore County,22.5700473741,0.06507948753,457.479267238
75,California Institute of Technology,72.1905304689,0.118325204282,2071.83436889
76,University of Delaware,55.4494448438,0.408994615636,4160.99625297
77,University of Texas at Dallas,332.944213192,2.66769814547,66369.3172311
78,University of Cincinnati Main Campus,101.80529595,1.35856497432,185487.593074
79,Kent State University Main Campus,56.6197679527,0.820369625291,10386.2526591
80,Oregon State University,112.972163877,0.586379751658,16682.25011
81,University of Iowa,40.0095414969,0.465926541503,5082.76936997
